,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2661,A Hard Day's Night,['Rita Lee'],0.79,0.75,9,-8.021,1,0.0358,0.176,0.00014,0.0974,0.688,100.999,audio_features,5X1AFNmdtJE5wgB7Be3H37,spotify:track:5X1AFNmdtJE5wgB7Be3H37,https://api.spotify.com/v1/tracks/5X1AFNmdtJE5wgB7Be3H37,https://api.spotify.com/v1/audio-analysis/5X1AFNmdtJE5wgB7Be3H37,220587,4
2662,Pra Você Eu Digo Sim,['Rita Lee'],0.607,0.223,11,-14.951,1,0.0309,0.856,0.00115,0.115,0.42,107.612,audio_features,5Ta3rNX8fUyknPOBDguKwC,spotify:track:5Ta3rNX8fUyknPOBDguKwC,https://api.spotify.com/v1/tracks/5Ta3rNX8fUyknPOBDguKwC,https://api.spotify.com/v1/audio-analysis/5Ta3rNX8fUyknPOBDguKwC,160467,4
2663,She Loves You,['Rita Lee'],0.758,0.374,7,-13.675,1,0.0392,0.601,0.0197,0.282,0.348,137.045,audio_features,1a56wRkbBjtglKTwyGdROw,spotify:track:1a56wRkbBjtglKTwyGdROw,https://api.spotify.com/v1/tracks/1a56wRkbBjtglKTwyGdROw,https://api.spotify.com/v1/audio-analysis/1a56wRkbBjtglKTwyGdROw,158160,4
2664,With a Little Help from My Friends,['Rita Lee'],0.718,0.327,7,-14.182,1,0.0307,0.569,0.0185,0.114,0.44,111.017,audio_features,4EWzGhlhykm3nNLvPUEdv4,spotify:track:4EWzGhlhykm3nNLvPUEdv4,https://api.spotify.com/v1/tracks/4EWzGhlhykm3nNLvPUEdv4,https://api.spotify.com/v1/audio-analysis/4EWzGhlhykm3nNLvPUEdv4,165960,4
2665,Michelle,['Rita Lee'],0.561,0.277,4,-12.218,0,0.0307,0.806,4.95e-06,0.104,0.129,107.844,audio_features,3WL5u6Cf5ijCjPtSstMdaY,spotify:track:3WL5u6Cf5ijCjPtSstMdaY,https://api.spotify.com/v1/tracks/3WL5u6Cf5ijCjPtSstMdaY,https://api.spotify.com/v1/audio-analysis/3WL5u6Cf5ijCjPtSstMdaY,162293,4
2666,Jericho,['Andrew Ripp'],0.495,0.732,10,-4.336,1,0.0417,0.244,0.0,0.0624,0.349,71.024,audio_features,5pTpq4JWJHkZtcO2BjBN4V,spotify:track:5pTpq4JWJHkZtcO2BjBN4V,https://api.spotify.com/v1/tracks/5pTpq4JWJHkZtcO2BjBN4V,https://api.spotify.com/v1/audio-analysis/5pTpq4JWJHkZtcO2BjBN4V,203070,4
2667,Jericho,['Ruston Kelly'],0.512,0.305,4,-7.196,1,0.0297,0.629,0.0,0.111,0.251,123.954,audio_features,4vpPfxOdsfRS6zSilWmGgU,spotify:track:4vpPfxOdsfRS6zSilWmGgU,https://api.spotify.com/v1/tracks/4vpPfxOdsfRS6zSilWmGgU,https://api.spotify.com/v1/audio-analysis/4vpPfxOdsfRS6zSilWmGgU,173520,4
2668,Jericho,['Celldweller'],0.423,0.867,0,-5.153,1,0.138,0.0177,0.0393,0.0629,0.3,94.979,audio_features,5whywBjgTnIsnMybjpgHpx,spotify:track:5whywBjgTnIsnMybjpgHpx,https://api.spotify.com/v1/tracks/5whywBjgTnIsnMybjpgHpx,https://api.spotify.com/v1/audio-analysis/5whywBjgTnIsnMybjpgHpx,318281,4
2669,Jericho,"['Simi', 'Patoranking']",0.57,0.861,5,-3.2,0,0.324,0.332,0.0,0.0988,0.89,184.029,audio_features,6PrImSndUslYTiN77tqlp8,spotify:track:6PrImSndUslYTiN77tqlp8,https://api.spotify.com/v1/tracks/6PrImSndUslYTiN77tqlp8,https://api.spotify.com/v1/audio-analysis/6PrImSndUslYTiN77tqlp8,195000,4
2670,Jericho Rose,['Taylor McCall'],0.649,0.84,9,-7.608,0,0.0384,0.16,0.00631,0.153,0.444,110.019,audio_features,4CKfxWL2LpGKhD8AVmHcH9,spotify:track:4CKfxWL2LpGKhD8AVmHcH9,https://api.spotify.com/v1/tracks/4CKfxWL2LpGKhD8AVmHcH9,https://api.spotify.com/v1/audio-analysis/4CKfxWL2LpGKhD8AVmHcH9,315557,4
2671,Jericho,['Normandie'],0.502,0.852,7,-3.78,0,0.0487,0.00198,0.0,0.199,0.664,140.018,audio_features,3EX6ERPaJ6okwsG7Y4RqHV,spotify:track:3EX6ERPaJ6okwsG7Y4RqHV,https://api.spotify.com/v1/tracks/3EX6ERPaJ6okwsG7Y4RqHV,https://api.spotify.com/v1/audio-analysis/3EX6ERPaJ6okwsG7Y4RqHV,214437,4
2672,Jericho,['Hilary Duff'],0.524,0.81,2,-4.217,1,0.0465,0.0547,3.59e-06,0.263,0.41,125.022,audio_features,7EDJpyh6KIiZKq0Mew0Zbe,spotify:track:7EDJpyh6KIiZKq0Mew0Zbe,https://api.spotify.com/v1/tracks/7EDJpyh6KIiZKq0Mew0Zbe,https://api.spotify.com/v1/audio-analysis/7EDJpyh6KIiZKq0Mew0Zbe,232960,4
2673,Jericho,['Westerman'],0.47,0.277,2,-12.292,1,0.0361,0.889,0.000501,0.322,0.376,126.334,audio_features,7cmuyQn1WqXBEqvkECvx8K,spotify:track:7cmuyQn1WqXBEqvkECvx8K,https://api.spotify.com/v1/tracks/7cmuyQn1WqXBEqvkECvx8K,https://api.spotify.com/v1/audio-analysis/7cmuyQn1WqXBEqvkECvx8K,206311,5
