,SONG,ARTIST,AUDIO FEATURE
20,['Lil Tecca'],Last Call,"[{'danceability': 0.732, 'energy': 0.459, 'key': 9, 'loudness': -10.524, 'mode': 0, 'speechiness': 0.193, 'acousticness': 0.144, 'instrumentalness': 0, 'liveness': 0.0818, 'valence': 0.257, 'tempo': 133.067, 'type': 'audio_features', 'id': '5jPAwLGMs0cCKStblX1Jii', 'uri': 'spotify:track:5jPAwLGMs0cCKStblX1Jii', 'track_href': 'https://api.spotify.com/v1/tracks/5jPAwLGMs0cCKStblX1Jii', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5jPAwLGMs0cCKStblX1Jii', 'duration_ms': 159573, 'time_signature': 4}]"
21,['Kanye West'],Last Call,"[{'danceability': 0.473, 'energy': 0.727, 'key': 8, 'loudness': -6.843, 'mode': 1, 'speechiness': 0.356, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.316, 'valence': 0.854, 'tempo': 83.212, 'type': 'audio_features', 'id': '7iOhWWYjhhQiXzF4o4HhXN', 'uri': 'spotify:track:7iOhWWYjhhQiXzF4o4HhXN', 'track_href': 'https://api.spotify.com/v1/tracks/7iOhWWYjhhQiXzF4o4HhXN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iOhWWYjhhQiXzF4o4HhXN', 'duration_ms': 760973, 'time_signature': 4}]"
22,['SUOLETNES'],Last Call,"[{'danceability': 0.824, 'energy': 0.441, 'key': 11, 'loudness': -11.198, 'mode': 1, 'speechiness': 0.246, 'acousticness': 0.479, 'instrumentalness': 0, 'liveness': 0.0727, 'valence': 0.763, 'tempo': 124.961, 'type': 'audio_features', 'id': '3VayJ7xTaWaDW5aLxG4zjA', 'uri': 'spotify:track:3VayJ7xTaWaDW5aLxG4zjA', 'track_href': 'https://api.spotify.com/v1/tracks/3VayJ7xTaWaDW5aLxG4zjA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3VayJ7xTaWaDW5aLxG4zjA', 'duration_ms': 238106, 'time_signature': 4}]"
23,['Justin Lee'],Last Call,"[{'danceability': 0.44, 'energy': 0.921, 'key': 8, 'loudness': -2.708, 'mode': 1, 'speechiness': 0.0649, 'acousticness': 0.000836, 'instrumentalness': 1.61e-06, 'liveness': 0.108, 'valence': 0.439, 'tempo': 160.971, 'type': 'audio_features', 'id': '4pz5FHAM86ceyEMNMRGsqf', 'uri': 'spotify:track:4pz5FHAM86ceyEMNMRGsqf', 'track_href': 'https://api.spotify.com/v1/tracks/4pz5FHAM86ceyEMNMRGsqf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pz5FHAM86ceyEMNMRGsqf', 'duration_ms': 202306, 'time_signature': 4}]"
24,['Lee Ann Womack'],Last Call,"[{'danceability': 0.335, 'energy': 0.584, 'key': 6, 'loudness': -7.089, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.794, 'instrumentalness': 0.000195, 'liveness': 0.0869, 'valence': 0.332, 'tempo': 78.51, 'type': 'audio_features', 'id': '5DWmvAL8WPuncj8tSxFVNC', 'uri': 'spotify:track:5DWmvAL8WPuncj8tSxFVNC', 'track_href': 'https://api.spotify.com/v1/tracks/5DWmvAL8WPuncj8tSxFVNC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5DWmvAL8WPuncj8tSxFVNC', 'duration_ms': 195467, 'time_signature': 4}]"
25,['Logic'],Last Call,"[{'danceability': 0.778, 'energy': 0.818, 'key': 8, 'loudness': -5.29, 'mode': 0, 'speechiness': 0.33, 'acousticness': 0.301, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.812, 'tempo': 86.947, 'type': 'audio_features', 'id': '202RUoPIUYZLyg6VtosWci', 'uri': 'spotify:track:202RUoPIUYZLyg6VtosWci', 'track_href': 'https://api.spotify.com/v1/tracks/202RUoPIUYZLyg6VtosWci', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/202RUoPIUYZLyg6VtosWci', 'duration_ms': 645667, 'time_signature': 4}]"
26,['Cody Jinks'],Last Call for the Blues,"[{'danceability': 0.668, 'energy': 0.472, 'key': 0, 'loudness': -5.881, 'mode': 1, 'speechiness': 0.0261, 'acousticness': 0.282, 'instrumentalness': 0.000153, 'liveness': 0.139, 'valence': 0.576, 'tempo': 75.018, 'type': 'audio_features', 'id': '35RvjSZR91c4Fnrut7ZFao', 'uri': 'spotify:track:35RvjSZR91c4Fnrut7ZFao', 'track_href': 'https://api.spotify.com/v1/tracks/35RvjSZR91c4Fnrut7ZFao', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/35RvjSZR91c4Fnrut7ZFao', 'duration_ms': 338693, 'time_signature': 4}]"
27,['Hudson Thames'],Last Call,"[{'danceability': 0.658, 'energy': 0.72, 'key': 5, 'loudness': -6.075, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.191, 'instrumentalness': 0, 'liveness': 0.356, 'valence': 0.548, 'tempo': 140.864, 'type': 'audio_features', 'id': '5j0ZoiJoX24rXVrLKRBr11', 'uri': 'spotify:track:5j0ZoiJoX24rXVrLKRBr11', 'track_href': 'https://api.spotify.com/v1/tracks/5j0ZoiJoX24rXVrLKRBr11', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5j0ZoiJoX24rXVrLKRBr11', 'duration_ms': 216347, 'time_signature': 4}]"
28,"['OutKast', 'Slimm Calhoun', 'Lil Jon', 'Eastside Boyz', 'Mello']","Last Call (feat. Slimm Calhoun, Lil' Jon, The EastSide Boyz & Mello)","[{'danceability': 0.69, 'energy': 0.907, 'key': 1, 'loudness': -4.936, 'mode': 1, 'speechiness': 0.347, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.279, 'valence': 0.809, 'tempo': 187.824, 'type': 'audio_features', 'id': '1oPGTrHrMygoW9cbNxWx3N', 'uri': 'spotify:track:1oPGTrHrMygoW9cbNxWx3N', 'track_href': 'https://api.spotify.com/v1/tracks/1oPGTrHrMygoW9cbNxWx3N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1oPGTrHrMygoW9cbNxWx3N', 'duration_ms': 237160, 'time_signature': 4}]"
29,['Master Chance'],Last Call,"[{'danceability': 0.529, 'energy': 0.0853, 'key': 7, 'loudness': -25.065, 'mode': 1, 'speechiness': 0.0462, 'acousticness': 0.994, 'instrumentalness': 0.939, 'liveness': 0.15, 'valence': 0.278, 'tempo': 220.049, 'type': 'audio_features', 'id': '6c3Yr06dK4DozD6sn6pR0A', 'uri': 'spotify:track:6c3Yr06dK4DozD6sn6pR0A', 'track_href': 'https://api.spotify.com/v1/tracks/6c3Yr06dK4DozD6sn6pR0A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6c3Yr06dK4DozD6sn6pR0A', 'duration_ms': 190433, 'time_signature': 4}]"
30,"['Sander van Doorn', 'Belle Humble']",No Words (feat. Belle Humble),"[{'danceability': 0.46, 'energy': 0.728, 'key': 5, 'loudness': -4.162, 'mode': 1, 'speechiness': 0.0376, 'acousticness': 0.169, 'instrumentalness': 0.000199, 'liveness': 0.66, 'valence': 0.142, 'tempo': 127.991, 'type': 'audio_features', 'id': '2E5amaomMJkbkOe2TAkhD4', 'uri': 'spotify:track:2E5amaomMJkbkOe2TAkhD4', 'track_href': 'https://api.spotify.com/v1/tracks/2E5amaomMJkbkOe2TAkhD4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2E5amaomMJkbkOe2TAkhD4', 'duration_ms': 227344, 'time_signature': 4}]"
31,"['Sander van Doorn', 'Belle Humble']",No Words (feat. Belle Humble),"[{'danceability': 0.46, 'energy': 0.752, 'key': 5, 'loudness': -4.545, 'mode': 1, 'speechiness': 0.0389, 'acousticness': 0.196, 'instrumentalness': 0.000238, 'liveness': 0.664, 'valence': 0.134, 'tempo': 127.99, 'type': 'audio_features', 'id': '321OZgQqwbtzCaKk9YeHLy', 'uri': 'spotify:track:321OZgQqwbtzCaKk9YeHLy', 'track_href': 'https://api.spotify.com/v1/tracks/321OZgQqwbtzCaKk9YeHLy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/321OZgQqwbtzCaKk9YeHLy', 'duration_ms': 225000, 'time_signature': 4}]"
32,['Glen Campbell'],Bowling Green - Remastered 2001,"[{'danceability': 0.54, 'energy': 0.465, 'key': 7, 'loudness': -11.047, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.184, 'instrumentalness': 0, 'liveness': 0.063, 'valence': 0.788, 'tempo': 125.579, 'type': 'audio_features', 'id': '3e5RDTUrPhbPDh3zpd1xQW', 'uri': 'spotify:track:3e5RDTUrPhbPDh3zpd1xQW', 'track_href': 'https://api.spotify.com/v1/tracks/3e5RDTUrPhbPDh3zpd1xQW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3e5RDTUrPhbPDh3zpd1xQW', 'duration_ms': 140360, 'time_signature': 4}]"
33,['The Jam'],Pretty Green - Remastered,"[{'danceability': 0.617, 'energy': 0.667, 'key': 2, 'loudness': -8.78, 'mode': 1, 'speechiness': 0.0304, 'acousticness': 0.000512, 'instrumentalness': 0.000429, 'liveness': 0.0749, 'valence': 0.907, 'tempo': 138.217, 'type': 'audio_features', 'id': '2R9pO6rH9cqaKtRLUV7yfX', 'uri': 'spotify:track:2R9pO6rH9cqaKtRLUV7yfX', 'track_href': 'https://api.spotify.com/v1/tracks/2R9pO6rH9cqaKtRLUV7yfX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2R9pO6rH9cqaKtRLUV7yfX', 'duration_ms': 155173, 'time_signature': 4}]"
34,['The Charlatans'],Sproston Green - Remastered,"[{'danceability': 0.43, 'energy': 0.82, 'key': 9, 'loudness': -8.564, 'mode': 1, 'speechiness': 0.0386, 'acousticness': 0.002, 'instrumentalness': 0.657, 'liveness': 0.0722, 'valence': 0.14, 'tempo': 139.3, 'type': 'audio_features', 'id': '0otjDkq5xPjU1uwOhWTjR8', 'uri': 'spotify:track:0otjDkq5xPjU1uwOhWTjR8', 'track_href': 'https://api.spotify.com/v1/tracks/0otjDkq5xPjU1uwOhWTjR8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0otjDkq5xPjU1uwOhWTjR8', 'duration_ms': 313360, 'time_signature': 4}]"
35,['Vangelis'],Memories Of Green - Remastered,"[{'danceability': 0.304, 'energy': 0.0849, 'key': 2, 'loudness': -24.923, 'mode': 1, 'speechiness': 0.0369, 'acousticness': 0.913, 'instrumentalness': 0.328, 'liveness': 0.0482, 'valence': 0.0665, 'tempo': 159.351, 'type': 'audio_features', 'id': '0EPVTTGIyqpNBomepEOV1C', 'uri': 'spotify:track:0EPVTTGIyqpNBomepEOV1C', 'track_href': 'https://api.spotify.com/v1/tracks/0EPVTTGIyqpNBomepEOV1C', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0EPVTTGIyqpNBomepEOV1C', 'duration_ms': 339893, 'time_signature': 4}]"
36,['Lee Kernaghan'],I Was Only 19 (A Walk In The Light Green) - Remastered,"[{'danceability': 0.6, 'energy': 0.636, 'key': 11, 'loudness': -7.869, 'mode': 1, 'speechiness': 0.0498, 'acousticness': 0.127, 'instrumentalness': 0.000138, 'liveness': 0.153, 'valence': 0.252, 'tempo': 90.022, 'type': 'audio_features', 'id': '5d0oYpMbLP0bumTrOEPPme', 'uri': 'spotify:track:5d0oYpMbLP0bumTrOEPPme', 'track_href': 'https://api.spotify.com/v1/tracks/5d0oYpMbLP0bumTrOEPPme', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5d0oYpMbLP0bumTrOEPPme', 'duration_ms': 257693, 'time_signature': 4}]"
37,['R.E.M.'],Stand - Remastered,"[{'danceability': 0.653, 'energy': 0.738, 'key': 4, 'loudness': -10.057, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.397, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.932, 'tempo': 109.322, 'type': 'audio_features', 'id': '22UhQSbYimuCnvI0Y07gFX', 'uri': 'spotify:track:22UhQSbYimuCnvI0Y07gFX', 'track_href': 'https://api.spotify.com/v1/tracks/22UhQSbYimuCnvI0Y07gFX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/22UhQSbYimuCnvI0Y07gFX', 'duration_ms': 192960, 'time_signature': 4}]"
38,['R.E.M.'],Orange Crush - Remastered,"[{'danceability': 0.568, 'energy': 0.701, 'key': 9, 'loudness': -10.453, 'mode': 1, 'speechiness': 0.04, 'acousticness': 0.000613, 'instrumentalness': 0.00258, 'liveness': 0.17, 'valence': 0.638, 'tempo': 120.678, 'type': 'audio_features', 'id': '7sNhXWrg9eW3qRqeuePaIC', 'uri': 'spotify:track:7sNhXWrg9eW3qRqeuePaIC', 'track_href': 'https://api.spotify.com/v1/tracks/7sNhXWrg9eW3qRqeuePaIC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7sNhXWrg9eW3qRqeuePaIC', 'duration_ms': 231640, 'time_signature': 4}]"
39,['The Outlaws'],Green Grass & High Tides - Remastered,"[{'danceability': 0.263, 'energy': 0.828, 'key': 4, 'loudness': -8.225, 'mode': 0, 'speechiness': 0.0412, 'acousticness': 0.000421, 'instrumentalness': 0.018, 'liveness': 0.232, 'valence': 0.584, 'tempo': 99.092, 'type': 'audio_features', 'id': '4BxfXnGbnlibcUUPKog7Ne', 'uri': 'spotify:track:4BxfXnGbnlibcUUPKog7Ne', 'track_href': 'https://api.spotify.com/v1/tracks/4BxfXnGbnlibcUUPKog7Ne', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4BxfXnGbnlibcUUPKog7Ne', 'duration_ms': 586400, 'time_signature': 4}]"
