,SONG,ARTIST,AUDIO FEATURE
20,Don't Need You To (Tell Me I'm Pretty),['Samantha Mumba'],"[{'danceability': 0.64, 'energy': 0.61, 'key': 5, 'loudness': -5.116, 'mode': 0, 'speechiness': 0.0382, 'acousticness': 0.021, 'instrumentalness': 1.52e-06, 'liveness': 0.0812, 'valence': 0.306, 'tempo': 173.373, 'type': 'audio_features', 'id': '4UzVSUGjxluZZikgxOFQKy', 'uri': 'spotify:track:4UzVSUGjxluZZikgxOFQKy', 'track_href': 'https://api.spotify.com/v1/tracks/4UzVSUGjxluZZikgxOFQKy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4UzVSUGjxluZZikgxOFQKy', 'duration_ms': 213800, 'time_signature': 4}]"
21,Tell Me I'm Pretty,"['Yes, Kel']","[{'danceability': 0.476, 'energy': 0.522, 'key': 2, 'loudness': -10.155, 'mode': 1, 'speechiness': 0.287, 'acousticness': 0.0763, 'instrumentalness': 0, 'liveness': 0.312, 'valence': 0.21, 'tempo': 133.181, 'type': 'audio_features', 'id': '4Dj7FDr27wlzQMZAFGHZhJ', 'uri': 'spotify:track:4Dj7FDr27wlzQMZAFGHZhJ', 'track_href': 'https://api.spotify.com/v1/tracks/4Dj7FDr27wlzQMZAFGHZhJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Dj7FDr27wlzQMZAFGHZhJ', 'duration_ms': 132733, 'time_signature': 4}]"
22,"Tell Me I'm Pretty, Don't Say You Love Me EP",['Nory'],"[{'danceability': 0.403, 'energy': 0.612, 'key': 10, 'loudness': -6.01, 'mode': 0, 'speechiness': 0.293, 'acousticness': 0.0752, 'instrumentalness': 0.00264, 'liveness': 0.19, 'valence': 0.34, 'tempo': 139.564, 'type': 'audio_features', 'id': '32dU05InYDE7CsejF9SIUo', 'uri': 'spotify:track:32dU05InYDE7CsejF9SIUo', 'track_href': 'https://api.spotify.com/v1/tracks/32dU05InYDE7CsejF9SIUo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32dU05InYDE7CsejF9SIUo', 'duration_ms': 422400, 'time_signature': 4}]"
23,Tell Me I'm Pretty,['Stuffy Doll'],"[{'danceability': 0.767, 'energy': 0.409, 'key': 6, 'loudness': -10.898, 'mode': 1, 'speechiness': 0.0488, 'acousticness': 0.884, 'instrumentalness': 0.255, 'liveness': 0.0895, 'valence': 0.541, 'tempo': 124.015, 'type': 'audio_features', 'id': '4Rxd28ZgYhx8Mj7ELQlhgF', 'uri': 'spotify:track:4Rxd28ZgYhx8Mj7ELQlhgF', 'track_href': 'https://api.spotify.com/v1/tracks/4Rxd28ZgYhx8Mj7ELQlhgF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Rxd28ZgYhx8Mj7ELQlhgF', 'duration_ms': 220681, 'time_signature': 4}]"
24,Cannibal,['Kesha'],"[{'danceability': 0.71, 'energy': 0.68, 'key': 1, 'loudness': -4.676, 'mode': 1, 'speechiness': 0.106, 'acousticness': 0.0078, 'instrumentalness': 0.0165, 'liveness': 0.0493, 'valence': 0.571, 'tempo': 129.971, 'type': 'audio_features', 'id': '3JTMWdhcJPiegDSe7SvZS3', 'uri': 'spotify:track:3JTMWdhcJPiegDSe7SvZS3', 'track_href': 'https://api.spotify.com/v1/tracks/3JTMWdhcJPiegDSe7SvZS3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3JTMWdhcJPiegDSe7SvZS3', 'duration_ms': 194253, 'time_signature': 4}]"
25,body,['Isaac Dunbar'],"[{'danceability': 0.518, 'energy': 0.571, 'key': 10, 'loudness': -7.144, 'mode': 1, 'speechiness': 0.119, 'acousticness': 0.388, 'instrumentalness': 0, 'liveness': 0.17, 'valence': 0.461, 'tempo': 170.06, 'type': 'audio_features', 'id': '6Vei3kKN9pPMpBZ9kgF1w8', 'uri': 'spotify:track:6Vei3kKN9pPMpBZ9kgF1w8', 'track_href': 'https://api.spotify.com/v1/tracks/6Vei3kKN9pPMpBZ9kgF1w8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Vei3kKN9pPMpBZ9kgF1w8', 'duration_ms': 231120, 'time_signature': 3}]"
26,Trouble,['Cage The Elephant'],"[{'danceability': 0.47, 'energy': 0.623, 'key': 0, 'loudness': -5.655, 'mode': 1, 'speechiness': 0.0302, 'acousticness': 0.392, 'instrumentalness': 0.000453, 'liveness': 0.0992, 'valence': 0.298, 'tempo': 77.861, 'type': 'audio_features', 'id': '5n0CTysih20NYdT2S0Wpe8', 'uri': 'spotify:track:5n0CTysih20NYdT2S0Wpe8', 'track_href': 'https://api.spotify.com/v1/tracks/5n0CTysih20NYdT2S0Wpe8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5n0CTysih20NYdT2S0Wpe8', 'duration_ms': 225973, 'time_signature': 4}]"
27,The Romantic,['Lauryn Marie'],"[{'danceability': 0.629, 'energy': 0.217, 'key': 5, 'loudness': -15.953, 'mode': 1, 'speechiness': 0.0731, 'acousticness': 0.769, 'instrumentalness': 0.00485, 'liveness': 0.0891, 'valence': 0.0631, 'tempo': 120.254, 'type': 'audio_features', 'id': '4ktH31ti3SZq9rUtrDoAFI', 'uri': 'spotify:track:4ktH31ti3SZq9rUtrDoAFI', 'track_href': 'https://api.spotify.com/v1/tracks/4ktH31ti3SZq9rUtrDoAFI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ktH31ti3SZq9rUtrDoAFI', 'duration_ms': 215238, 'time_signature': 4}]"
28,Can't Take My Eyes Off You,['Lady A'],"[{'danceability': 0.247, 'energy': 0.271, 'key': 9, 'loudness': -9.945, 'mode': 0, 'speechiness': 0.0289, 'acousticness': 0.46, 'instrumentalness': 0, 'liveness': 0.188, 'valence': 0.127, 'tempo': 82.988, 'type': 'audio_features', 'id': '0tQfrNzsjBDR2LKO76fiog', 'uri': 'spotify:track:0tQfrNzsjBDR2LKO76fiog', 'track_href': 'https://api.spotify.com/v1/tracks/0tQfrNzsjBDR2LKO76fiog', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tQfrNzsjBDR2LKO76fiog', 'duration_ms': 285160, 'time_signature': 5}]"
29,Shut Up,['New Years Day'],"[{'danceability': 0.553, 'energy': 0.829, 'key': 8, 'loudness': -4.429, 'mode': 1, 'speechiness': 0.105, 'acousticness': 0.000589, 'instrumentalness': 2.2e-05, 'liveness': 0.117, 'valence': 0.424, 'tempo': 142.901, 'type': 'audio_features', 'id': '5hc1hrIYxTJQTVZkPUn9Po', 'uri': 'spotify:track:5hc1hrIYxTJQTVZkPUn9Po', 'track_href': 'https://api.spotify.com/v1/tracks/5hc1hrIYxTJQTVZkPUn9Po', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hc1hrIYxTJQTVZkPUn9Po', 'duration_ms': 211773, 'time_signature': 4}]"
